City,Cloudiness (%),Country,Date,Humidity (%),Latitude,Longitude,Max Temperature (F),Wind Speed (mph)
xining,88.0,cn,1546893405,87.0,36.62,101.77,3.57,2.93
georgetown,92.0,sh,1546893618,100.0,-7.93,-14.42,77.14,13.67
provideniya,0.0,ru,1546893619,100.0,64.42,-173.23,3.75,29.77
chokurdakh,56.0,ru,1546893336,49.0,70.62,147.9,-29.96,3.15
nouakchott,32.0,mr,1546891200,81.0,18.08,-15.98,71.6,5.82
san patricio,75.0,mx,1546890240,78.0,19.22,-104.7,82.4,17.22
yulara,0.0,au,1546891200,24.0,-25.24,130.99,68.0,9.17
fairbanks,20.0,us,1546891080,65.0,64.84,-147.72,-39.82,4.16
jalu,12.0,ly,1546893434,90.0,29.03,21.55,45.51,8.41
veraval,0.0,in,1546893620,81.0,20.9,70.37,64.09,11.77
luderitz,0.0,na,1546893620,87.0,-26.65,15.16,61.08,13.22
maku,20.0,ir,1546890780,74.0,39.29,44.45,32.0,4.7
geraldton,90.0,au,1546891200,94.0,-28.77,114.6,68.0,10.29
nanchong,92.0,cn,1546893621,91.0,30.8,106.08,38.31,2.71
okhotsk,20.0,ru,1546893424,100.0,59.36,143.24,-21.41,8.63
saldanha,0.0,za,1546893621,86.0,-33.01,17.94,62.74,18.81
te anau,36.0,nz,1546893622,73.0,-45.41,167.72,55.59,5.95
takoradi,0.0,gh,1546893622,100.0,4.89,-1.75,79.98,4.61
roma,8.0,au,1546893622,64.0,-26.57,148.79,71.74,9.98
ixtapa,75.0,mx,1546890120,74.0,20.71,-105.21,80.6,10.29
presidencia roque saenz pena,12.0,ar,1546893623,89.0,-26.79,-60.44,82.68,8.08
baykit,48.0,ru,1546893673,85.0,61.68,96.39,5.64,6.17
atuona,76.0,pf,1546893673,100.0,-9.8,-139.03,81.37,16.69
mokhsogollokh,56.0,ru,1546893673,57.0,61.4,128.95,-12.1,3.49
ilulissat,75.0,gl,1546890600,78.0,69.22,-51.1,17.6,4.7
ponta do sol,20.0,cv,1546891200,69.0,17.2,-25.09,73.4,12.75
whitehorse,90.0,ca,1546891200,75.0,60.72,-135.06,-14.81,3.04
blagoyevo,92.0,ru,1546893674,91.0,63.37,47.92,22.83,7.4
portage,90.0,us,1546892100,89.0,41.58,-87.18,53.6,20.8
kodiak,1.0,us,1546893300,30.0,39.95,-94.76,57.92,14.99
puerto ayora,40.0,ec,1546891200,62.0,-0.74,-90.35,84.2,21.92
lusambo,68.0,cd,1546893675,96.0,-4.97,23.44,72.82,2.15
egvekinot,0.0,ru,1546893675,0.0,66.32,-179.17,-45.04,2.37
komsomolskiy,24.0,ru,1546893675,61.0,67.55,63.78,-13.58,3.15
agudos,20.0,br,1546893676,50.0,-22.47,-48.99,88.08,10.87
victoria,20.0,sc,1546891200,83.0,-4.62,55.45,80.6,6.93
haines junction,12.0,ca,1546893676,42.0,60.75,-137.51,-29.38,2.26
buala,44.0,sb,1546893676,100.0,-8.15,159.59,80.29,5.73
poum,0.0,nc,1546893677,100.0,-20.23,164.02,78.36,13.67
gamba,44.0,ga,1546893677,100.0,-2.72,10.02,80.34,5.06
muros,0.0,es,1546891200,75.0,42.77,-9.06,44.6,5.82
chuy,0.0,uy,1546893678,85.0,-33.69,-53.46,75.66,25.3
andenes,75.0,no,1546892400,74.0,69.31,16.12,35.6,29.97
yellowknife,75.0,ca,1546891200,67.0,62.45,-114.38,-22.01,9.17
benguela,56.0,ao,1546893678,100.0,-12.58,13.4,77.01,8.08
riyadh,0.0,sa,1546891200,58.0,24.63,46.72,57.2,10.29
tha chang,48.0,th,1546893436,97.0,14.76,100.39,69.54,4.05
solwezi,76.0,zm,1546893678,96.0,-12.18,26.4,66.21,4.72
isla mujeres,75.0,mx,1546890420,73.0,21.23,-86.73,77.0,5.82
mpika,68.0,zm,1546893679,99.0,-11.84,31.4,62.25,4.16
sao gabriel da cachoeira,36.0,br,1546893679,69.0,-0.13,-67.09,87.09,2.37
eyemouth,0.0,gb,1546890600,61.0,55.87,-2.09,48.2,26.4
chimbote,0.0,pe,1546893679,79.0,-9.08,-78.59,75.3,5.61
charlestown,40.0,kn,1546891200,65.0,17.13,-62.62,80.6,16.11
kamenka,56.0,ru,1546893680,86.0,53.19,44.05,6.81,6.4
denia,0.0,es,1546893681,100.0,38.84,0.11,54.69,2.15
carutapera,92.0,br,1546893681,86.0,-1.2,-46.02,80.7,8.08
lorengau,92.0,pg,1546893681,98.0,-2.02,147.27,83.89,15.46
kavieng,80.0,pg,1546893681,100.0,-2.57,150.8,83.67,11.1
kargasok,76.0,ru,1546893682,75.0,59.06,80.87,13.65,8.97
rawson,36.0,ar,1546893627,19.0,-43.3,-65.11,84.84,17.25
port hardy,20.0,ca,1546891200,80.0,50.7,-127.42,35.6,5.82
grodzisk mazowiecki,40.0,pl,1546893000,79.0,52.11,20.63,26.6,8.05
toumodi,92.0,ci,1546891200,38.0,6.56,-5.02,77.0,4.7
kiama,90.0,au,1546891260,100.0,-34.67,150.86,68.0,6.93
vestmanna,48.0,fo,1546892400,86.0,62.16,-7.17,39.2,28.86
severo-kurilsk,64.0,ru,1546893683,100.0,50.68,156.12,26.74,22.84
palmer,90.0,us,1546891620,83.0,61.6,-149.11,1.94,3.6
vostok,44.0,ru,1546893733,81.0,46.45,135.83,-5.93,2.26
kapaa,1.0,us,1546890960,64.0,22.08,-159.32,77.0,4.7
urucara,36.0,br,1546893733,90.0,-2.54,-57.76,79.39,2.59
east london,92.0,za,1546893734,94.0,-33.02,27.91,72.96,20.83
kalmunai,32.0,lk,1546893734,98.0,7.42,81.82,72.82,7.07
plettenberg bay,92.0,za,1546893734,100.0,-34.05,23.37,67.02,7.18
saint george,75.0,bm,1546890900,59.0,32.38,-64.68,62.6,23.04
port antonio,40.0,jm,1546891200,58.0,18.18,-76.45,84.2,10.29
fortuna,75.0,us,1546890900,100.0,40.6,-124.16,51.98,20.8
chapais,75.0,ca,1546891200,70.0,49.78,-74.86,-0.41,4.7
ylivieska,36.0,fi,1546893735,96.0,64.07,24.53,23.91,5.73
iida,36.0,jp,1546893735,71.0,35.45,137.9,13.87,1.92
kirovsk,56.0,ru,1546893736,77.0,67.62,33.66,8.11,2.15
beringovskiy,88.0,ru,1546893736,88.0,63.05,179.32,20.85,32.79
pangnirtung,5.0,ca,1546891200,61.0,66.15,-65.72,-20.21,4.38
longyearbyen,75.0,sj,1546890600,73.0,78.22,15.64,24.8,40.26
carnarvon,64.0,au,1546891200,73.0,-24.87,113.63,77.0,14.99
norman wells,40.0,ca,1546891200,72.0,65.28,-126.83,-38.21,2.93
santa maria,0.0,cv,1546891200,60.0,16.6,-22.9,71.6,9.17
ulaangom,8.0,mn,1546893737,43.0,49.98,92.07,-31.27,2.26
cockburn town,8.0,tc,1546893738,100.0,21.46,-71.14,78.99,13.56
kirakira,76.0,sb,1546893738,100.0,-10.46,161.92,81.42,14.0
shelburne,90.0,ca,1546891200,68.0,44.08,-80.2,26.6,18.34
port hedland,0.0,au,1546891200,94.0,-20.31,118.58,82.4,5.82
seydi,48.0,tm,1546893739,97.0,39.48,62.91,44.52,7.4
kogon,75.0,uz,1546891200,71.0,39.73,64.54,51.8,2.24
eucaliptus,8.0,bo,1546893740,26.0,-17.6,-67.51,66.21,5.17
kachug,44.0,ru,1546893740,61.0,53.96,105.89,-14.71,4.38
oktyabrskoye,75.0,ru,1546891200,85.0,56.73,85.44,14.0,13.42
qingquan,0.0,cn,1546893741,70.0,34.7,106.0,9.33,4.83
segou,36.0,ml,1546893741,37.0,13.43,-6.22,70.12,8.41
vung tau,48.0,vn,1546893741,97.0,10.35,107.08,79.17,21.27
tual,36.0,id,1546893742,98.0,-5.67,132.75,84.66,14.67
ridgecrest,40.0,us,1546890960,30.0,35.62,-117.67,64.94,21.92
port-gentil,20.0,ga,1546891200,94.0,-0.72,8.78,78.8,7.18
saint-philippe,32.0,re,1546891200,83.0,-21.36,55.77,78.8,4.7
moroni,0.0,km,1546893745,99.0,-11.7,43.26,84.03,9.42
mecca,8.0,sa,1546893592,67.0,21.43,39.83,59.32,4.27
namie,8.0,jp,1546893746,100.0,37.52,140.86,31.47,6.29
nikolskoye,90.0,ru,1546891200,86.0,59.7,30.79,30.2,4.47
ovalle,0.0,cl,1546893746,75.0,-30.6,-71.2,67.74,4.38
brandon,1.0,us,1546893360,80.0,43.59,-96.57,44.06,12.75
madingou,92.0,cg,1546893793,94.0,-4.17,13.56,74.26,1.92
dimovo,75.0,bg,1546891200,63.0,41.54,24.62,26.6,16.11
nishihara,1.0,jp,1546891200,68.0,35.74,139.53,39.2,0.47
neuquen,0.0,ar,1546893555,17.0,-38.95,-68.06,85.83,25.41
aksu,44.0,cn,1546893794,56.0,41.12,80.26,-0.4,2.82
darovskoy,64.0,ru,1546893794,82.0,58.77,47.96,13.11,12.33
kefamenanu,32.0,id,1546893794,96.0,-9.45,124.48,67.29,1.36
san matias,88.0,bo,1546893794,100.0,-16.36,-58.4,75.03,9.75
malaya purga,48.0,ru,1546893798,72.0,56.55,53.01,0.91,9.42
uray,88.0,ru,1546893798,81.0,60.13,64.8,15.04,6.96
cody,75.0,us,1546893300,49.0,44.53,-109.06,35.96,17.22
hambantota,68.0,lk,1546893798,100.0,6.12,81.12,78.63,8.08
pacific grove,40.0,us,1546892400,74.0,36.62,-121.92,59.0,5.82
sambava,68.0,mg,1546893799,100.0,-14.27,50.17,80.7,1.59
kaputa,76.0,zm,1546893799,99.0,-8.47,29.66,65.22,2.82
kharp,0.0,ru,1546893799,34.0,66.82,65.8,-23.35,2.93
taoudenni,24.0,ml,1546893799,31.0,22.68,-3.98,52.17,9.75
talnakh,56.0,ru,1546893800,70.0,69.49,88.39,0.6,4.38
caravelas,24.0,br,1546893800,100.0,-17.73,-39.27,80.7,14.79
mahanoro,76.0,mg,1546893800,97.0,-19.9,48.8,75.93,2.37
lulea,0.0,se,1546892400,74.0,65.58,22.15,30.2,6.93
emmett,1.0,us,1546892100,41.0,43.87,-116.5,42.98,8.05
mount isa,0.0,au,1546891200,54.0,-20.73,139.49,82.4,3.36
parnu-jaagupi,92.0,ee,1546893801,91.0,58.61,24.51,30.34,4.83
mao,0.0,td,1546893801,25.0,14.12,15.31,61.8,12.44
tautira,75.0,pf,1546893000,74.0,-17.73,-149.15,82.4,2.24
madang,88.0,pg,1546893802,100.0,-5.21,145.81,74.94,5.39
korla,36.0,cn,1546893802,91.0,41.76,86.15,3.16,2.59
ermelo,44.0,za,1546893803,97.0,-26.52,29.99,57.12,2.93
richards bay,44.0,za,1546893803,90.0,-28.77,32.06,67.69,5.73
fasa,75.0,ir,1546891200,50.0,28.94,53.65,55.4,9.17
qasigiannguit,75.0,gl,1546890600,78.0,68.82,-51.19,17.6,4.7
altay,0.0,cn,1546893804,47.0,47.83,88.13,-20.2,2.15
nantucket,1.0,us,1546893300,30.0,41.28,-70.1,30.02,8.05
yeppoon,75.0,au,1546891740,88.0,-23.13,150.74,73.4,10.29
souillac,75.0,mu,1546891200,88.0,-20.52,57.52,80.6,16.11
ribeira grande,40.0,pt,1546891200,88.0,38.52,-28.7,64.4,20.8
sao felix do xingu,56.0,br,1546893805,88.0,-6.64,-51.99,78.04,2.26
laela,48.0,tz,1546893805,100.0,-8.57,32.05,58.83,2.37
talcahuano,75.0,cl,1546891200,59.0,-36.72,-73.12,64.4,14.99
muzhi,0.0,ru,1546893853,51.0,65.4,64.7,-17.81,3.38
miri,75.0,my,1546891200,94.0,4.41,114.01,78.8,3.36
lake charles,90.0,us,1546892100,62.0,30.23,-93.22,73.58,11.41
kieta,32.0,pg,1546893854,100.0,-6.22,155.63,80.43,4.61
matamoros,90.0,mx,1546890300,36.0,25.53,-103.23,78.8,3.36
broome,75.0,au,1546891200,83.0,-17.97,122.23,84.2,6.93
moindou,20.0,nc,1546893000,61.0,-21.69,165.68,78.8,8.05
ostrovnoy,92.0,ru,1546893855,98.0,68.05,39.51,24.54,10.76
esperance,90.0,au,1546891200,82.0,-33.86,121.89,62.6,12.75
turukhansk,64.0,ru,1546893855,79.0,65.8,87.96,8.11,13.78
cayenne,75.0,gf,1546891200,78.0,4.94,-52.33,80.6,16.11
mareeba,75.0,au,1546891200,78.0,-16.99,145.42,77.0,5.82
robertson,8.0,za,1546893856,77.0,-33.8,19.88,62.29,2.15
pusad,0.0,in,1546893856,64.0,19.91,77.57,50.32,7.4
igrim,32.0,ru,1546893856,81.0,63.19,64.42,-4.94,2.59
myaundzha,36.0,ru,1546893857,0.0,63.05,147.18,-47.29,2.59
alofi,75.0,nu,1546891200,88.0,-19.06,-169.92,82.4,10.29
tiksi,12.0,ru,1546893857,51.0,71.64,128.87,-30.68,2.71
vanavara,80.0,ru,1546893857,82.0,60.35,102.28,7.12,7.07
kankaanpaa,76.0,fi,1546892400,100.0,61.8,22.42,30.2,4.7
kloulklubed,75.0,pw,1546890840,78.0,7.04,134.26,75.2,4.7
sawtell,92.0,au,1546891200,88.0,-30.38,153.1,71.6,1.7
solnechnyy,56.0,ru,1546893858,60.0,50.72,136.64,-20.92,2.59
zeya,0.0,ru,1546893859,64.0,53.74,127.27,-15.11,3.49
maragogi,80.0,br,1546893766,100.0,-9.01,-35.22,74.58,4.72
sola,68.0,vu,1546893859,91.0,-13.88,167.55,83.22,10.42
kita,64.0,ml,1546893859,28.0,13.04,-9.49,71.25,7.18
taltal,0.0,cl,1546893859,61.0,-25.41,-70.49,69.36,4.5
saint-augustin,90.0,ca,1546891200,46.0,45.63,-73.98,12.2,3.36
grindavik,75.0,is,1546893000,80.0,63.84,-22.43,39.2,9.17
whyalla,0.0,au,1546891200,93.0,-33.04,137.58,60.8,6.93
havoysund,75.0,no,1546892400,100.0,71.0,24.66,30.2,20.8
kirillov,92.0,ru,1546893860,91.0,59.86,38.38,24.04,14.0
balabac,12.0,ph,1546893861,100.0,7.99,117.06,80.79,15.79
muisne,75.0,ec,1546891200,88.0,0.61,-80.02,78.8,2.24
singarayakonda,0.0,in,1546893861,85.0,15.25,80.02,57.61,3.04
sochi,75.0,ru,1546891200,86.0,43.6,39.73,39.2,8.95
coihaique,90.0,cl,1546891200,76.0,-45.58,-72.07,50.0,5.82
cidreira,12.0,br,1546893861,62.0,-30.17,-50.22,89.97,16.02
lompoc,40.0,us,1546892100,72.0,34.64,-120.46,66.02,5.82
bandarbeyla,48.0,so,1546893913,100.0,9.49,50.81,76.47,19.04
kenora,1.0,ca,1546893300,80.0,49.76,-94.48,33.8,10.29
barcelos,0.0,br,1546893914,70.0,-0.97,-62.93,87.45,5.84
nyurba,32.0,ru,1546893914,78.0,63.29,118.35,-4.31,4.61
port macquarie,64.0,au,1546891200,100.0,-31.43,152.91,68.0,4.7
cedar city,40.0,us,1546890780,79.0,37.68,-113.06,39.92,18.34
acajutla,20.0,sv,1546890600,37.0,13.59,-89.83,86.0,4.7
san policarpo,80.0,ph,1546893915,95.0,12.18,125.51,77.1,15.79
karratha,0.0,au,1546893915,72.0,-20.74,116.85,75.34,2.71
tibiao,0.0,ph,1546893915,98.0,11.29,122.03,78.09,21.5
barentu,0.0,er,1546893915,72.0,15.11,37.59,58.42,3.38
starkville,1.0,us,1546892100,59.0,33.45,-88.82,68.0,11.41
sibu,75.0,my,1546891200,100.0,2.29,111.83,75.2,2.93
sladkovo,0.0,ru,1546893919,75.0,55.53,70.34,5.37,9.64
upernavik,76.0,gl,1546893919,100.0,72.79,-56.15,9.6,15.57
cabo san lucas,75.0,mx,1546890420,73.0,22.89,-109.91,77.0,5.82
nuevo progreso,68.0,mx,1546893920,92.0,17.14,-95.05,74.76,7.07
aklavik,20.0,ca,1546891200,67.0,68.22,-135.01,-14.81,2.59
estevan,75.0,ca,1546892100,73.0,49.14,-102.99,30.2,25.28
luangwa,36.0,zm,1546893920,92.0,-12.88,28.25,66.21,3.94
yumen,32.0,cn,1546893921,78.0,40.29,97.04,0.78,5.17
englewood,40.0,us,1546891080,18.0,39.65,-104.99,51.26,29.97
hwange,88.0,zw,1546893921,75.0,-18.35,26.5,72.87,3.38
morehead,64.0,pg,1546893921,96.0,-8.71,141.64,74.94,7.29
barra patuca,80.0,hn,1546893925,100.0,15.8,-84.28,74.44,9.98
touros,75.0,br,1546891200,74.0,-5.2,-35.46,82.4,11.41
monrovia,20.0,lr,1546891200,94.0,6.33,-10.8,77.0,7.07
port-cartier,20.0,ca,1546891200,36.0,50.03,-66.88,12.2,8.05
reconquista,32.0,ar,1546893926,89.0,-29.14,-59.64,77.55,10.09
tessalit,56.0,ml,1546893926,23.0,20.2,1.01,55.41,8.75
teya,56.0,ru,1546893926,72.0,60.37,92.63,9.6,7.18
izhmorskiy,68.0,ru,1546893926,84.0,56.19,86.64,12.34,15.23
saint-francois,90.0,gp,1546891200,65.0,16.25,-61.27,80.6,11.41
marivan,0.0,ir,1546893927,69.0,35.52,46.18,15.27,0.58
drogheda,40.0,ie,1546893000,87.0,53.71,-6.35,42.8,13.87
wasilla,90.0,us,1546893540,84.0,61.58,-149.44,5.0,3.6
matara,80.0,lk,1546893928,100.0,5.95,80.54,75.39,3.27
thunder bay,90.0,ca,1546891200,100.0,48.41,-89.26,33.8,3.36
praia,0.0,cv,1546891200,53.0,14.92,-23.51,71.6,9.17
nome,75.0,us,1546892100,58.0,30.04,-94.42,73.94,10.29
sasolburg,8.0,za,1546893976,71.0,-26.81,27.82,64.41,6.29
kaoma,64.0,zm,1546893976,94.0,-14.8,24.8,66.3,6.73
bang len,20.0,th,1546891200,88.0,14.02,100.17,78.8,2.93
aljezur,0.0,pt,1546893977,100.0,37.31,-8.8,53.7,7.96
buchanan,20.0,lr,1546891200,94.0,5.88,-10.05,77.0,5.61
hof,90.0,no,1546892400,100.0,59.53,10.09,33.8,10.29
southbridge,8.0,nz,1546893000,82.0,-43.81,172.25,62.6,9.17
kraslava,92.0,lv,1546893977,90.0,55.9,27.16,19.32,14.23
cusco,75.0,pe,1546893000,48.0,-13.52,-71.98,60.8,2.15
lagos,76.0,ng,1546891200,83.0,6.46,3.39,82.4,8.75
saint-pierre,75.0,pm,1546891200,63.0,46.77,-56.17,28.4,21.92
santa cruz cabralia,20.0,br,1546891200,69.0,-16.28,-39.02,80.6,9.17
shetpe,88.0,kz,1546893978,93.0,44.14,52.16,23.91,8.52
tupik,32.0,ru,1546893979,44.0,54.43,119.94,-16.51,6.29
broken hill,12.0,au,1546891200,30.0,-31.97,141.45,69.8,10.29
canjulao,90.0,ph,1546891200,88.0,10.29,123.94,77.0,5.82
marawi,0.0,sd,1546893979,38.0,18.48,31.82,58.38,11.99
jining,12.0,cn,1546893980,66.0,35.41,116.58,20.4,6.06
mookane,36.0,bw,1546893980,51.0,-23.68,26.66,78.09,8.97
ipatovo,80.0,ru,1546893980,93.0,45.72,42.92,21.84,7.74
hobyo,76.0,so,1546893981,85.0,5.35,48.53,76.42,15.9
san lorenzo,92.0,ec,1546893982,100.0,1.29,-78.84,71.97,2.37
tecoanapa,40.0,mx,1546890480,74.0,16.99,-99.26,84.2,6.93
birjand,75.0,ir,1546891200,93.0,32.86,59.22,44.6,6.93
walvis bay,0.0,na,1546891200,72.0,-22.95,14.51,64.4,9.17
cajaruro,56.0,pe,1546893983,95.0,-5.74,-78.43,67.87,1.59
aqtobe,0.0,kz,1546893000,91.0,50.28,57.21,3.2,2.24
